feature,mean,std,min,max
rely,1.0763333333333334,0.09827265196530406,0.88,1.4
data,1.0026666666666666,0.07559631115264162,0.94,1.16
cplx,1.1408333333333336,0.09935882014820291,0.85,1.65
time,1.0838333333333334,0.141338536574085,1.0,1.66
stor,1.063,0.13533761925806392,1.0,1.56
virt,0.9096666666666666,0.07118766477290296,0.87,1.15
turn,0.9548333333333334,0.08905324377016653,0.87,1.07
acap,0.9076666666666667,0.101853445173864,0.71,1.0
aexp,0.9339999999999998,0.0638907966635656,0.82,1.0
pcap,0.9276666666666668,0.10330745074064637,0.7,1.0
Vexp,1.0166666666666666,0.041849879681768905,0.9,1.1
lexp,0.9708333333333333,0.04076770351292201,0.95,1.14
modp,0.9565000000000001,0.08292992753738505,0.82,1.1
tool,0.972,0.08325578312483053,0.83,1.24
sced,1.0373333333333334,0.038172963485206914,1.0,1.08
ksloc,74.58833333333332,97.1720893380794,2.2,423.0
actual_effort,406.41333333333336,656.9656698371938,8.4,3240.0
